first_name,last_name,birth_year,death_year,birth_place,full_name
Catherine,Asaro,1955, ,"Oakland, CA, USA",Catherine Asaro
Isaac,Asimov,1920,1992,"Petrovichi, USSR",Isaac Asimov
Paolo,Bacigalupi,1972, ,"Paonia, CO, USA",Paolo Bacigalupi
Greg,Bear,1951, ,"San Diego, CA, USA",Greg Bear
Gregory,Benford,1941, ,"Mobile, AL, USA",Gregory Benford
Alfred,Bestor,1913,1987,"New York City, NY, USA",Alfred Bestor
Michael,Bishop,1945, ,"Lincoln, NE, USA",Michael Bishop
James,Blish,1921,1975,"East Orange, NJ, USA",James Blish
David,Brin,1950, ,"Glendale, CA, USA",David Brin
John,Brunner,1934,1995,"Wallingford, Oxfordshire, UK",John Brunner
Lois McMaster,Bujold,1949, ,"Columbus, OH, USA",Lois McMaster Bujold
Octavia,Butler,1947,2006,"Pasadena, CA, USA",Octavia Butler
Orson Scott,Card,1951, ,"Richland, WA, USA",Orson Scott Card
Michael,Chabon,1963, ,"D.C, USA",Michael Chabon
C. J. ,Cherryh,1942, ,"St. Louis, MO, USA",C. J. Cherryh
Susanna,Clarke,1959, ,"Nottingham, UK",Susanna Clarke
Arthur C.,Clarke,1917,2008,"Minehead, Somerset, UK",Arthur C. Clarke
Mark,Clifton,1906,1963,"Philadelphia, PA, USA",Mark Clifton
Samuel R.,Delaney,1942, ,"New York City, NY, USA",Samuel R. Delaney
Philip K.,Dick,1928,1982,"Chicago, IL, USA",Philip K. Dick
Philip José,Farmer,1908,2009,"Terre Haute, IN, USA",Philip José Farmer
Neil,Gaiman,1960, ,"Portchester, Hampshire, UK",Neil Gaiman
William,Gibson,1948, ,"Conway, SC, USA",William Gibson
Nicola,Griffith,1960, ,"Yorkshire, UK",Nicola Griffith
Joe,Haldeman,1943, ,"Oklahoma City, OK, USA",Joe Haldeman
Robert A.,Heinlein,1907,1988,"Butler, MO, USA",Robert A. Heinlein
Frank,Herbert,1920,1986,"Tacoma, WA, USA",Frank Herbert
N. K.,Jemisin,1972, ,"Iowa City, IA, USA",N. K. Jemisin
Daniel,Keyes,1927,2014,"Brooklyn, NY, USA",Daniel Keyes
Ursula K.,Le Guin,1929, ,"Berkeley, CA, USA",Ursula K. LeGuin
Ann,Leckie,1966, ,"Toledo, OH, USA",Ann Leckie
Fritz,Leiber,1910,1992,"Chicago, IL, USA",Fritz Leiber
Ken,Liu,1976, ,"Lanzhou, China",Ken Liu
Cixin,Liu,1963, ,"Yangquan, Shanxi, China",Cixin Liu
Jack,McDevitt,1935, ,"Philadelphia, PA, USA",Jack McDevitt
Vonda N.,McIntyre,1948, ,"Louisville, KY, USA",Vonda N. McIntyre
Walter M.,"Miller, Jr.",1923,1996,"New Smyrna Beach, FL, USA","Walter M. Miller, Jr."
China,Miéville,1972, ,"Norwich, UK",China Miéville
Elizabeth,Moon,1945, ,"McAllen, TX, USA",Elizabeth Moon
Pat,Murphy,1955, ,"WA, USA",Pat Murphy
Larry,Niven,1938, ,"Los Angeles, CA, USA",Larry Niven
Naomi,Novik,1973, ,"New York City, NY, USA",Naomi Novik
Alexei,Panshin,1940, ,"Lansing, MI, USA",Alexei Panshin
Frederik,Pohl,1919,2013,"New York City, NY, USA",Frederik Pohl
Frank,Riley,1915,1996,"Hibbing, MN, USA",Frank Riley
Kim Stanley,Robinson,1952, ,"Waukegan, IL, USA",Kim Stanley Robinson
J. K.,Rowling,1965, ,"Yate, Gloucestershire, UK",J. K. Rowling
Robert J.,Sawyer,1960, ,"Ottawa, ON, Canada",Robert J. Sawyer
John,Scalzi,1969, ,"Fairfield, CA, USA",John Scalzi
Elizabeth Ann,Scarborough,1947, ,"Kansas City, MO, USA",Elizabeth Ann Scarborough
Robert,Silverberg,1935, ,"Brooklyn, NY, USA",Robert Silverberg
Clifford D.,Simak,1904,1988,"Millville, WI, USA",Clifford D. Simak
Dan,Simmons,1948, ,"Peoria, IL, USA",Dan Simmons
Neal,Stephenson,1959, ,"Fort Meade, MD, USA",Neal Stephenson
Michael,Swanwick,1950, ,"Schenectady, NY, USA",Michael Swanwick
Jeff,VanderMeer,1968, ,"Bellefonte, PA, USA",Jeff VanderMeer
Vernor,Vinge,1944, ,"Waukegan, IL, USA",Vernor Vinge
Joan D.,Vinge,1948, ,"Baltimore, MD, USA",Joan D. Vinge
Jo,Walton,1964, ,"Aberdare, Wales, UK",Jo Walton
Kate,Wilhelm,1928, ,"Toledo, OH, USA",Kate Wilhelm
Connie,Willis,1945, ,"Denver, CO, USA",Connie Willis
Robert Charles,Wilson,1953, ,"Whittier, CA, USA",Robert Charles Wilson
Gene,Wolfe,1931, ,"New York City, NY, USA",Gene Wolfe
Roger,Zelazny,1937,1995,"Euclid, OH, USA",Roger Zelazny
