award_type,year_id,book_id
Hugo,54,14
Hugo,56,15
Hugo,57,16
Hugo,59,17
Hugo,60,18
Hugo,61,19
Hugo,62,20
Hugo,63,21
Hugo,64,22
Hugo,65,23
Hugo,66,24
Hugo,1,1
Hugo,1,26
Hugo,2,27
Hugo,3,28
Hugo,4,29
Hugo,5,30
Hugo,6,31
Hugo,7,32
Hugo,8,33
Hugo,9,34
Hugo,10,35
Hugo,11,36
Hugo,12,37
Hugo,13,38
Hugo,14,39
Hugo,15,40
Hugo,16,41
Hugo,17,42
Hugo,18,43
Hugo,19,44
Hugo,20,45
Hugo,21,46
Hugo,22,47
Hugo,23,48
Hugo,24,49
Hugo,25,50
Hugo,26,51
Hugo,27,52
Hugo,28,53
Hugo,28,54
Hugo,29,55
Hugo,30,56
Hugo,31,57
Hugo,32,58
Hugo,33,59
Hugo,34,60
Hugo,35,61
Hugo,36,62
Hugo,37,63
Hugo,38,64
Hugo,39,65
Hugo,40,66
Hugo,41,67
Hugo,42,68
Hugo,43,69
Hugo,44,70
Hugo,45,71
Hugo,45,72
Hugo,46,73
Hugo,47,74
Hugo,48,75
Hugo,49,76
Hugo,50,77
Hugo,51,78
Nebula,1,1
Nebula,2,2
Nebula,2,79
Nebula,3,80
Nebula,4,81
Nebula,5,30
Nebula,6,31
Nebula,7,82
Nebula,8,33
Nebula,9,34
Nebula,10,35
Nebula,11,36
Nebula,12,83
Nebula,13,38
Nebula,14,39
Nebula,15,40
Nebula,16,84
Nebula,17,85
Nebula,18,86
Nebula,19,44
Nebula,20,45
Nebula,21,46
Nebula,22,47
Nebula,23,87
Nebula,24,88
Nebula,25,106
Nebula,26,89
Nebula,27,90
Nebula,28,54
Nebula,29,91
Nebula,30,92
Nebula,31,93
Nebula,32,94
Nebula,33,95
Nebula,34,59
Nebula,35,96
Nebula,36,97
Nebula,37,98
Nebula,38,63
Nebula,39,99
Nebula,40,65
Nebula,41,100
Nebula,42,105
Nebula,43,69
Nebula,44,101
Nebula,45,71
Nebula,46,73
Nebula,47,74
Nebula,48,102
Nebula,49,76
Nebula,50,103
Nebula,51,104
