title,cover,publisher,description,author_id,year_id,award
...And Call Me Conrad,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,The Magazine of Fantasy & Science Fiction,"After being devastated by a nuclear war, the Earth is a planet with a population of only 4 million, overrun by a variety of mutated lifeforms. Worse, much of the Earth is now owned by the Vegans, a race of blue-skinned aliens who see the planet as a tourist location. Conrad Nomikos, the first person narrator, is a man with a past that he'd rather not talk about who's been given a task that he'd rather refuse: to show an influential Vegan around the old ruins of Earth. But Conrad suddenly finds himself the reluctant protector of this alien visitor when attempts are made on the Vegan's life. Conrad knows that keeping the Vegan alive is important—but now he must find out why.",52,1,Hugo
2312,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Orbit Books,"The novel is set, as the title suggests, in the year 2312, in the great city of Terminator on Mercury, which is built on gigantic tracks in order to constantly stay on the planet's nightside. Swan Er Hong, an artist and former asteroid terrarium designer, is grieving over the sudden death of her step-grandmother, Alex, who was very influential among the inhabitants of Terminator. After the funeral procession, a conference is held among the family and the close friends of Alex (some of whom Swan has never heard of, including Fitz Wahram, a native of the moon Titan, whom Swan dislikes). Following the conference, Swan decides to head out to Io to visit another friend of Alex's, called Wang, who has designed one of the largest qubes or quantum computers. While Swan is visiting Wang on Io, an apparent attack of some sort fails. An attack on Terminator shortly follows; a meteorite of artificial origin destroys the city's tracks, stopping the city and exposing it to sun, essentially cooking it. As Swan travels, she learns more of the mystery surrounding her grandmother's death and the destruction of her home-city of Terminator. With Wahram and Genette, Swan travels throughout the solar system and investigates an escalating series of conspiracies.",28,48,Nebula
A Canticle for Leibowitz,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,J. B. Lippincott & Co.,"Set in a Catholic monastery in the desert of the Southwestern United States after a devastating nuclear war, the story spans thousands of years as civilization rebuilds itself. The monks of the fictional Albertian Order of Leibowitz take up the mission of preserving the surviving remnants of man's scientific knowledge until the day the outside world is again ready for it.",49,62,Hugo
A Case of Conscience,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,"It is the story of a Jesuit who investigates an alien race that has no religion yet has a perfect, innate sense of morality, a situation which conflicts with Catholic teaching. ",48,60,Hugo
A Deepness in the Sky,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"The plot begins with the discovery of an intelligent alien species on a planet orbiting an anomalous star, dubbed OnOff because for 215 of every 250 years it is dormant, releasing almost no energy. During this period, the planet freezes and its fauna go into hibernation. The planet's inhabitants, called ""Spiders"" by the humans for their resemblance to arachnids, have reached a stage of technological development very similar to that of Earth's humans in the early 20th century, although humans believe that they may once have been capable of space travel. If this is true, then whoever can establish ties with the aliens first could reap unimaginable rewards; humans have made contact with only one other intelligent (but non-technological) alien species in millennia of travel through the stars. Two human groups launch expeditions to the Spider world: the Qeng Ho (pronounced Chung Ho and named after the explorer Zheng He), traders who have developed a common interstellar culture for humanity; and the Emergents, a civilization that literally enslaves selected human minds and has only recently re-emerged from a Dark Age.",60,35,Hugo
A Fire Upon the Deep,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"An expedition from Straumli Realm, an ambitious young human civilization in the high Beyond, investigates a five-billion-year-old data archive in the low Transcend that offers the possibility of unimaginable riches. The expedition's facility, High Lab, is gradually compromised by a dormant superintelligence within the archive later known as the Blight. However, shortly before the Blight's final ""flowering"", two self-aware entities created similarly to the Blight plot to aid the humans before the Blight can escape.",60,28,Hugo
A Time of Changes,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,"The novel is set in a culture where the first person singular is forbidden, and words such as I or me are treated as obscenities or social errors. A powerful new drug enables protagonist Kinnall Darival to attain telepathic contact with others, and this sharing brings him the courage to lead a revolution against his repressive culture.",11,7,Nebula
American Gods,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,William Morrow and Company,"The central premise of the novel is that gods and mythological creatures exist because people believe in them (a type of thoughtform). Immigrants to the United States brought with them spirits and gods. The power of these mythological beings has diminished as people's beliefs waned. New gods have arisen, reflecting America's obsessions with media, celebrity, technology, and drugs, among other things.",34,38,Nebula
American Gods,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,William Morrow and Company,"The central premise of the novel is that gods and mythological creatures exist because people believe in them (a type of thoughtform). Immigrants to the United States brought with them spirits and gods. The power of these mythological beings has diminished as people's beliefs waned. New gods have arisen, reflecting America's obsessions with media, celebrity, technology, and drugs, among other things.",34,37,Hugo
Among Others,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,"The novel is presented as the diary of Morwenna, a 15-year-old Welsh science fiction and fantasy fan, in 1979 and 1980. She and her twin sister Morgana have magically stopped their mother from taking control of the fairies, but their mother then caused an accident in which her sister was killed and Mori's leg was injured. She knows she and Morgana literally saved the world, but no one knows or cares. In fact, she is aware that no one cares about her as a person, and her surviving family's behavior reinforces this view. Bereft of her sister, her joy in running, and her beloved Welsh countryside, Mori must reconcile to her new life as a crippled, friendless outsider. She feels that she can do this as long as she has books to read.",39,47,Nebula & Hugo
Ancillary Justice,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Orbit Books,"Ancillary Justice is a space opera set thousands of years in the future, where the primary galactic power of human-occupied planets is the expansionist Radch empire. The empire uses AIs to control human bodies (""ancillaries"") that are used as soldiers, though regular humans also are soldiers. The Radchaai do not distinguish people by gender, and Leckie conveys this by using female personal pronouns for everybody, and by having the Radchaai main character guess wrongly when she has to use languages with gender-specific pronouns.",40,49,Nebula & Hugo
Annihilation,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,"Farrar, Straus and Giroux","The book describes a team of four (a biologist, an anthropologist, a psychologist, and a surveyor) who set out into an area known as Area X. The area is abandoned and cut off from the rest of civilization.[1] They are the 12th expedition. The other expeditions have been fraught with disappearances, suicides, aggressive cancers, and mental trauma.",41,50,Nebula
Babel-17,no cover pic yet,Ace Books,"During an interstellar war one side develops a language, Babel-17, that can be used as a weapon. Learning it turns one into an unwilling traitor as it alters perception and thought. The change is made more dangerous by the language's seductive enhancement of other abilities. This is discovered by the beautiful starship captain, linguist, poet, and telepath Rydra Wong. She is recruited by her government to discover how the enemy are infiltrating and sabotaging strategic sites. Initially Babel-17 is thought to be a code used by enemy agents. Rydra Wong realizes it is a language, and finds herself becoming a traitor as she learns it. She is rescued by her dedicated crew, figures out the danger, and neutralizes its effects.

The novel deals with several issues related to the peculiarities of language, how conditions of life shape the formation of words and meaning, and how the words themselves can shape the actions of people.",7,2,Nebula
Barrayar,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,"Cordelia and Aral Vorkosigan are expecting their first child. When the crafty old Emperor Ezar Vorbarra dies, Aral reluctantly takes over as regent for Ezar's grandson Gregor. A plot to assassinate the Vorkosigans with poison gas fails, but the antidote, while effective, is also a powerful teratogen that poses a grave threat to the bone development of their unborn son. In a desperate attempt to save the fetus, Cordelia has it transferred to a uterine replicator — an artificial womb — to undergo experimental treatment that may partially combat the otherwise-fatal bone damage. Barrayar, due to its harsh environment, has fostered a deep loathing for mutations, and babies with even minor birth defects are routinely euthanized. Aral's father, Count Piotr Vorkosigan, seeks to abort the fetus rather than have the Vorkosigan name and title passed on to a ""deformed mutant."" A furious Cordelia keeps him at bay.",24,27,Hugo
Blackout/All Clear,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Spectra Books,"Willis imagines a near future (first introduced in her 1982 story ""Fire Watch"" and featured in two of her previous novels: Doomsday Book and To Say Nothing of the Dog) in which historians conduct field work by traveling into the past as observers. The research is mainly conducted at the University of Oxford in England in the mid-21st century. In their world, time-travel has been known since the early 21st century. The time-travel device, a portal called ""the Net"", remains in the time-traveler's present, while sending the time-traveler to a particular location (called ""the drop"") and time. They can return from the same location when someone in the future re-opens the Net for them at an agreed-upon ""rendezvous"" time.",27,46,Nebula & Hugo
