title,cover,publisher,description,author_id,year_id,award
Barrayar,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,?,24,27,Hugo
The Snow Queen,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Dial Press,?,56,16,Hugo
The Demolished Man,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,?,43,54,Hugo
They'd Rather Be Right,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Astounding Science-Fiction,?,44,56,Hugo
Double Star,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Astounding Science-Fiction,?,46,57,Hugo
The Big Time,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,?,47,59,Hugo
A Case of Conscience,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,?,48,60,Hugo
Starship Troopers,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,The Magazine of Fantasy & Science Fiction,?,46,61,Hugo
A Canticle for Liebowitz,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,J. B. Lippincott & Co.,?,49,62,Hugo
Stranger in a Strange Land,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Putnam Publishing Group,?,46,63,Hugo
The Man in the High Castle,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Putnam Publishing Group,?,50,64,Hugo
Here Gather the Stars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,?,51,65,Hugo
The Wanderer,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,?,47,66,Hugo
...And Call Me Conrad,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,The Magazine of Fantasy & Science Fiction,?,52,1,Hugo
The Moon is a Harsh Mistress,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,If,?,46,2,Hugo
Lord of Light,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,?,52,3,Hugo
Stand on Zanzibar,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,?,53,4,Hugo
To Your Scattered Bodies Go,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Putnam Publishing Group,?,54,7,Hugo
Downbelow Station,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,DAW Books,?,57,17,Hugo
Foundation's Edge,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,?,12,18,Hugo
The Uplift War,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,?,20,23,Hugo
Cyteen,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Warner Books,?,57,24,Hugo
Hyperion,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday,?,58,25,Hugo
The Vor Game,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Baen Books,?,24,26,Hugo
Where Late the Sweet Birds Sing,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harper & Row,?,55,12,Hugo
A Fire Upon the Deep,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,60,28,Hugo
Green Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins,?,28,29,Hugo
The Diamond Age,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,?,59,31,Hugo
Blue Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins Voyager,?,28,32,Hugo
To Say Nothing of the Dog,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,?,27,34,Hugo
Harry Potter and the Goblet of Fire,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bloomsbury Publishing,?,61,36,Hugo
Hominids,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,?,30,38,Hugo
Jonathan Strange & Mr Norrell,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bloomsbury Publishing,?,62,40,Hugo
Rainbows End,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,60,42,Hugo
The Graveyard Book,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins,?,34,44,Hugo
The City and the City,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,?,64,45,Hugo
The Fifth Season,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Orbit Books,?,67,51,Hugo
Mirror Dance,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Baen Books,?,24,30,Hugo
A Deepness in the Sky,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,60,35,Hugo
Spin,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,63,41,Hugo
Redshirts,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,65,48,Hugo
The Three-Body Problem,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,66,50,Hugo
Forever Peace,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,?,14,33,Hugo
American Gods,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,William Morrow and Company,?,34,37,Hugo
Paladin of Souls,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Eos,?,24,39,Hugo
Uprooted,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,?,42,51,Nebula
Camouflage,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,?,14,41,Nebula
A Time of Changes,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,?,11,7,Nebula
Man Plus,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,The Magazine of Fantasy & Science Fiction,?,15,12,Nebula
Timescape,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Simon & Schuster,?,17,16,Nebula
The Claw of the Conciliator,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Timescape Books,?,18,17,Nebula
No Enemy But Time,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Timescape Books,?,19,18,Nebula
The Falling Woman,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,23,23,Nebula
Tehanu: The Last Book of Earthsea,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Macmillan Publishers,?,9,26,Nebula
Stations of the Tide,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Asimov's Science Fiction,?,26,27,Nebula
Red Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,?,28,29,Nebula
Moving Mars,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,29,30,Nebula
The Terminal Experiment,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperPrism,?,30,31,Nebula
Slow River,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,?,31,32,Nebula
The Moon and the Sun,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Pocket Books,?,16,33,Nebula
Forever Peace,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,?,14,34,Nebula
Parable of the Talents,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Seven Stories Press,?,32,35,Nebula
Babel-17,no cover pic yet,Ace Books,?,7,2,Nebula
Darwin's Radio,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Del Rey Books,?,29,36,Nebula
The Quantum Rose,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,33,37,Nebula
American Gods,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,William Morrow and Company,?,34,38,Nebula
The Speed of Dark,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,?,35,39,Nebula
Powers,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harcourt,?,9,44,Nebula
2312,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Orbit Books,?,28,48,Nebula
Flowers for Algernon,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harcourt,?,7,2,Nebula
Rite of Passage,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,?,8,4,Nebula
Annihilation,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,"Farrar, Straus and Giroux",?,41,50,Nebula
Paladin of Souls,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Eos,?,24,40,Nebula
Seeker,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,?,36,42,Nebula
Falling Free,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Analog Science Fact & Fiction,?,24,24,Nebula
The Healer's War,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Doubleday Foundation,?,25,25,Nebula
The Einstein Intersection,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,?,7,3,Nebula
The Yiddish Policemen's Union,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,HarperCollins,?,37,43,Nebula & Hugo
The Gods Themselves,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,?,12,8,Nebula & Hugo
The Windup Girl,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Night Shade Books,?,38,45,Nebula & Hugo
Blackout/All Clear,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Spectra Books,?,27,46,Nebula & Hugo
Rendezvous with Rama,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,?,13,9,Nebula & Hugo
The Dispossessed,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Harper & Row,?,9,10,Nebula & Hugo
The Forever War,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,St. Martin's Press,?,14,11,Nebula & Hugo
Among Others,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,39,47,Nebula & Hugo
Ancillary Justice,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Orbit Books,?,40,49,Nebula & Hugo
Gateway,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Galaxy Science Fiction,?,15,13,Nebula & Hugo
Dreamsnake,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Houghton Mifflin,?,16,14,Nebula & Hugo
The Fountains of Paradise,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Victor Gollancz Ltd,?,13,15,Nebula & Hugo
Startide Rising,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Books,?,20,19,Nebula & Hugo
Neuromancer,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,?,21,20,Nebula & Hugo
Dune,no cover pic yet,Chilton Company,sand and worms,2,1,Nebula & Hugo
Ender's Game,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,22,21,Nebula & Hugo
Speaker for the Dead,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Tor Books,?,22,22,Nebula & Hugo
Doomsday Book,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Bantam Spectra,?,27,28,Nebula & Hugo
The Left Hand of Darkness,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ace Books,?,9,5,Nebula & Hugo
Ringworld,http://www.codigarysbooks.com/uploads/1/9/0/6/19065263/7887743_orig.jpg,Ballantine Books,?,10,6,Nebula & Hugo
